               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 172,            0.029542,            0.014283,                   0,                   0,                   0,                   0,                   0,                   0,           0.0054074,                   0,          0.00051267,          0.00051267,            0.066013
                 173,            0.031731,            0.014176,                   0,                   0,                   0,                   0,                   0,                   0,           0.0056175,                   0,          0.00049847,          0.00049847,            0.065798
                 174,            0.030692,            0.014577,                   0,                   0,                   0,                   0,                   0,                   0,           0.0056543,                   0,          0.00048406,          0.00048406,            0.065584
                 175,            0.032998,            0.013547,                   0,                   0,                   0,                   0,                   0,                   0,           0.0057183,                   0,          0.00046946,          0.00046946,            0.065369
                 176,            0.033598,            0.012308,                   0,                   0,                   0,                   0,                   0,                   0,           0.0057047,                   0,          0.00045466,          0.00045466,            0.065155
                 177,            0.034125,            0.013243,                   0,                   0,                   0,                   0,                   0,                   0,           0.0057968,                   0,          0.00043967,          0.00043967,             0.06494
                 178,            0.032045,             0.01388,                   0,                   0,                   0,                   0,                   0,                   0,           0.0057685,                   0,          0.00042447,          0.00042447,            0.064724
                 179,            0.033778,              0.0125,                   0,                   0,                   0,                   0,                   0,                   0,           0.0057212,                   0,          0.00040908,          0.00040908,            0.064509
                 180,            0.031775,            0.013361,                   0,                   0,                   0,                   0,                   0,                   0,           0.0056555,                   0,          0.00039349,          0.00039349,            0.064293
                 181,            0.030444,            0.012881,                   0,                   0,                   0,                   0,                   0,                   0,            0.005706,                   0,           0.0003777,           0.0003777,            0.064078
                 182,            0.028383,            0.012061,                   0,                   0,                   0,                   0,                   0,                   0,           0.0057174,                   0,          0.00036171,          0.00036171,            0.063862
                 183,              0.0328,            0.011995,                   0,                   0,                   0,                   0,                   0,                   0,           0.0057787,                   0,          0.00034553,          0.00034553,            0.063646
                 184,            0.027672,            0.011275,                   0,                   0,                   0,                   0,                   0,                   0,           0.0057726,                   0,          0.00032915,          0.00032915,            0.063429
                 185,            0.026903,            0.012679,                   0,                   0,                   0,                   0,                   0,                   0,           0.0058061,                   0,          0.00031257,          0.00031257,            0.063213
                 186,            0.030202,            0.012288,                   0,                   0,                   0,                   0,                   0,                   0,           0.0057195,                   0,          0.00029579,          0.00029579,            0.062996
                 187,            0.028933,            0.011763,                   0,                   0,                   0,                   0,                   0,                   0,           0.0057719,                   0,          0.00027881,          0.00027881,            0.062779
                 188,             0.03288,            0.011152,                   0,                   0,                   0,                   0,                   0,                   0,           0.0057708,                   0,          0.00026164,          0.00026164,            0.062562
                 189,             0.02841,            0.014222,                   0,                   0,                   0,                   0,                   0,                   0,           0.0058165,                   0,          0.00024427,          0.00024427,            0.062344
